gm_Id,Id_W,L,VDS,gds_W,VGS,VDSAT,Cgg_W,Cdd_W
6.568178848390991,2.120961086867516e-05,4.5e-08,0.1,2.962310541749613e-06,1.1,0.0488913682901034,4.693499053108231e-10,1.691789336407108e-10
11.09677029272741,2.490317991449505e-05,4.5e-08,0.1,5.878044780521896e-06,1.078,0.0488913809341536,4.683182772383388e-10,1.693900814870336e-10
16.63190772738589,3.294513273597438e-05,4.5e-08,0.1,1.165992479983299e-05,1.056,0.0488914060101625,4.673234879361826e-10,1.6960792847759047e-10
21.87204762099331,4.957576521105377e-05,4.5e-08,0.1,2.311517518722035e-05,1.034,0.0488914556997821,4.662363187412821e-10,1.698328273238124e-10
24.61765452786873,0.2711022142426071,4.5e-08,0.1,0.172830715606976,0.7259999999999998,0.0496633987188717,4.6497169906366057e-10,1.7399816727183148e-10
23.40509270462278,0.4598345565060938,4.5e-08,0.1,0.28969897205894,0.7039999999999997,0.0501932163878472,4.7125990147802e-10,1.743960404973256e-10
22.1495533760386,0.7589854637487072,4.5e-08,0.1,0.4711230119845199,0.6819999999999997,0.0510207736385931,4.803535432745968e-10,1.7481250245351058e-10
20.90709870540387,1.218671186965171,4.5e-08,0.1,0.7426460414591242,0.6599999999999997,0.0522649825984343,4.927939869285903e-10,1.752489229564347e-10
19.72464450745588,1.90511938768003,4.5e-08,0.1,1.134897852783,0.6379999999999997,0.0540664602894053,5.089656094000022e-10,1.757067903285266e-10
18.62745552787494,2.904385375526477,4.5e-08,0.1,1.68295288961629,0.6159999999999997,0.0565822058323742,5.289838507917191e-10,1.7618771423556628e-10
17.61353406402562,4.326218238793691,4.5e-08,0.1,2.424941190821805,0.5939999999999996,0.0599769366026661,5.526143112406095e-10,1.7669342534044329e-10
16.65702414859771,6.306249069239054,4.5e-08,0.1,3.399396882769171,0.5719999999999996,0.0644100055645893,5.792544746471404e-10,1.7722577147229179e-10
15.71930254691321,9.003463961235196,4.5e-08,0.1,4.640931670111642,0.5499999999999996,0.0700173766776386,6.079929454216968e-10,1.777867099684093e-10
14.76378754229228,12.58984181739653,4.5e-08,0.1,6.174508937445399,0.5279999999999996,0.0768905809446129,6.377352576507413e-10,1.7837829536315358e-10
13.76902784364516,17.23115175245022,4.5e-08,0.1,8.009710641402851,0.5059999999999996,0.0850579010339941,6.673621762196095e-10,1.790026606349915e-10
12.73511342538861,23.06216382910539,4.5e-08,0.1,10.13721710051424,0.4839999999999995,0.0944747046242181,6.958773668787787e-10,1.796619889070542e-10
11.68149450769861,30.16371668367333,4.5e-08,0.1,12.52936189159651,0.4619999999999995,0.1050277163303158,7.225099905723558e-10,1.803584710154257e-10
10.63851320882353,38.54984569941548,4.5e-08,0.1,15.14493130706566,0.4399999999999995,0.1165526214400643,7.467578937844752e-10,1.8109424284471627e-10
9.637454421302682,48.16919426885551,4.5e-08,0.1,17.93642584612302,0.4179999999999995,0.1288590870078939,7.683774636805038e-10,1.818712948794178e-10
8.703240015636942,58.91876769014706,4.5e-08,0.1,20.85718664274104,0.3959999999999995,0.1417554037370846,7.873384347910675e-10,1.826913452471415e-10
7.851297378288635,70.66386667068524,4.5e-08,0.1,23.86646747125474,0.3739999999999994,0.1550669666564831,8.037640951664936e-10,1.8355566710389008e-10
7.087857553191346,83.2576924320534,4.5e-08,0.1,26.93188315428947,0.3519999999999994,0.1686465519119491,8.178726855419145e-10,1.8446486230940808e-10
6.412060759924756,96.5565054194162,4.5e-08,0.1,30.02971382331551,0.3299999999999994,0.1823773974301718,8.299288933989275e-10,1.8541857709397e-10
5.818479118047319,110.4290982310626,4.5e-08,0.1,33.14392951236992,0.3079999999999994,0.1961714617924357,8.40208424206747e-10,1.864151633181857e-10
5.299281192124356,124.7612832183814,4.5e-08,0.1,36.26469900766011,0.2859999999999994,0.2099652275401373,8.489748999910858e-10,1.8745130257716837e-10
4.845781989080516,139.4568599610332,4.5e-08,0.1,39.38687081215729,0.2639999999999993,0.2237147690643793,8.564666441909835e-10,1.8852163072137657e-10
4.449411430080918,154.4365065878604,4.5e-08,0.1,42.50866140791788,0.2419999999999994,0.2373910817795122,8.628905876776786e-10,1.8961842608563508e-10
4.102240977584413,169.6356864277153,4.5e-08,0.1,45.63062154492035,0.2199999999999994,0.2509761191630955,8.684209039632612e-10,1.907314503496387e-10
3.797215722082175,185.0022676565011,4.5e-08,0.1,48.75486705773791,0.1979999999999994,0.2644596477628053,8.732005831885004e-10,1.9184804534788178e-10
3.528209048535519,200.4942409688545,4.5e-08,0.1,51.88452835347985,0.1759999999999994,0.2778368599758994,8.773447217329953e-10,1.929535767917794e-10
3.289980844922885,216.0777117224682,4.5e-08,0.1,55.02336746925497,0.1539999999999994,0.2911066182935794,8.809447230414692e-10,1.940322633414325e-10
3.078090303566517,231.7252202497621,4.5e-08,0.1,58.17551779623019,0.1319999999999994,0.3042701942603947,8.840728558999116e-10,1.9506833681414538e-10
2.888793173233131,247.4143800667548,4.5e-08,0.1,61.34531100001529,0.1099999999999994,0.3173303799406145,8.86786738708586e-10,1.9604737011883577e-10
2.718939608288728,263.1267955490445,4.5e-08,0.1,64.53716470941205,0.0879999999999993,0.3302908723594398,8.891333837793488e-10,1.969575285145664e-10
2.565880448174561,278.8472123181753,4.5e-08,0.1,67.75551196223263,0.0659999999999993,0.3431558541012498,8.911525146423693e-10,1.977904917411625e-10
2.427384998846734,294.5628550922676,4.5e-08,0.1,71.00475903025738,0.0439999999999993,0.3559297127693472,8.928789968203797e-10,1.9854187414709539e-10
2.3015708244723,310.2629133440613,4.5e-08,0.1,74.2892623410404,0.0219999999999993,0.3686168575403486,8.943443829414984e-10,1.9921110689075777e-10
2.186844790036378,325.938142040524,4.5e-08,0.1,77.61331811819903,0.0,0.3812216028658331,8.955777172917943e-10,1.99800881563885e-10
7.366737676968643,1.766120310043098e-05,4.5e-08,0.2,2.946970371496998e-06,1.1,0.0488925420764965,4.703663920981989e-10,1.70195147573523e-10
12.1994762392878,2.115586724499668e-05,4.5e-08,0.2,5.847653060302235e-06,1.078,0.0488925545714247,4.693682986756768e-10,1.7043976557623079e-10
17.8236525022844,2.871184991953844e-05,4.5e-08,0.2,1.159977098620325e-05,1.056,0.0488925793518847,4.684088775158186e-10,1.706929067770713e-10
22.86588747409556,4.428951226050851e-05,4.5e-08,0.2,2.29962927032687e-05,1.034,0.0488926284563955,4.673590415307205e-10,1.709550596549644e-10
24.64853983034656,0.253826236712722,4.5e-08,0.2,0.1727258553474792,0.7259999999999998,0.0496571018645837,4.668325255919621e-10,1.759624066895765e-10
23.44347666379546,0.4308590342968146,4.5e-08,0.2,0.2899066960469117,0.7039999999999997,0.0501824459979162,4.731706438308857e-10,1.7645530704624587e-10
22.19675332892524,0.7118281004173026,4.5e-08,0.2,0.4722188026954803,0.6819999999999997,0.0510035651464982,4.823101140619343e-10,1.7697368720644518e-10
20.96450266668908,1.144266624024909,4.5e-08,0.2,0.7458090391849608,0.6599999999999997,0.0522389319084497,4.947945285239144e-10,1.7751946032089148e-10
19.79354503030373,1.79128991826145,4.5e-08,0.2,1.142343204429258,0.6379999999999997,0.0540287923666667,5.110126569625986e-10,1.780946693952861e-10
18.70871497825181,2.735366649152968,4.5e-08,0.2,1.698560520253867,0.6159999999999997,0.0565298999260989,5.310862689701104e-10,1.7870147188275538e-10
17.7071453753252,4.082314244224148,4.5e-08,0.2,2.455094394342105,0.5939999999999996,0.0599069246439806,5.54788340222595e-10,1.7934211206982728e-10
16.76173335950024,5.963745682167862,4.5e-08,0.2,3.453972587937258,0.5719999999999996,0.0643194649452557,5.815233799767311e-10,1.800188781654794e-10
15.83249487488961,8.534976919877414,4.5e-08,0.2,4.734270360870505,0.5499999999999996,0.0699041107950723,6.103851777303389e-10,1.807340403070125e-10
14.88175663277523,11.96525236579548,4.5e-08,0.2,6.326080099330805,0.5279999999999996,0.076753420291098,6.402815239064616e-10,1.8148976445849689e-10
13.88757267669065,16.41914461653411,4.5e-08,0.2,8.24416295881227,0.5059999999999996,0.084897000345129,6.700921609590422e-10,1.8228799555657117e-10
12.85024741767827,22.03215363813994,4.5e-08,0.2,10.48363165187367,0.4839999999999995,0.0942916102152361,6.988168544127101e-10,1.8313030180918137e-10
11.79001671285473,28.88775059006645,4.5e-08,0.2,13.01978965957085,0.4619999999999995,0.1048251545284379,7.256788483280607e-10,1.840176716654732e-10
10.7382923360173,37.00404163669015,4.5e-08,0.2,15.81255935728594,0.4399999999999995,0.1163340736469129,7.50168965968609e-10,1.8495025678272029e-10
9.727423904147228,46.33444850834875,4.5e-08,0.2,18.81382450460989,0.4179999999999995,0.1286282941979516,7.720361027131562e-10,1.8592705970770638e-10
8.783202155040124,56.78072978740876,4.5e-08,0.2,21.97499530996017,0.3959999999999995,0.1415159403303094,7.912422761920013e-10,1.8694557559334187e-10
