gm_Id,Id_W,L,VDS,gm_gds
24.83295532794421,0.0809560130588468,4.5e-08,0.1,6.733811779429292
23.63534422438385,0.1380040394316369,4.5e-08,0.1,6.531059910801214
22.34160600430066,0.2288661388803482,4.5e-08,0.1,6.303466384452332
21.02341759065407,0.3687480258238378,4.5e-08,0.1,6.060993803274724
19.75867548546166,0.5774004053972438,4.5e-08,0.1,5.816351309200605
18.61212609722414,0.8803608983684293,4.5e-08,0.1,5.581413954411886
17.62011978912908,1.311019926351705,4.5e-08,0.1,5.363166850798943
16.78481845002237,1.913531357065372,4.5e-08,0.1,5.160725530988707
16.07776148595238,2.746127705130868,4.5e-08,0.1,4.964327321972142
15.44933222295434,3.883860156756896,4.5e-08,0.1,4.756332831080649
14.84054079640905,5.419187894840078,4.5e-08,0.1,4.514038959839616
14.19475076207869,7.458323553199741,4.5e-08,0.1,4.214595422119159
13.46786781919371,10.11125122936227,4.5e-08,0.1,3.842832875485685
12.63611527979367,13.47462409318939,4.5e-08,0.1,3.401533436953027
11.70105665969719,17.61002135927388,4.5e-08,0.1,2.918477537811164
10.69055591591322,22.52482126962802,4.5e-08,0.1,2.439851821169424
9.652058975002843,28.1655340482249,4.5e-08,0.1,2.009069085700058
8.637494977429567,34.42835039717104,4.5e-08,0.1,1.648751414178476
7.687910706056519,41.18097701176733,4.5e-08,0.1,1.360066919548341
6.826805970589892,48.28469640970877,4.5e-08,0.1,1.132728949314261
6.062144991350558,55.60979808123443,4.5e-08,0.1,0.9538334501262428
5.391696173954823,63.04362317249221,4.5e-08,0.1,0.8119691829880926
4.80786071987378,70.4932346471182,4.5e-08,0.1,0.6982123764018128
4.300896882100078,77.88490504852702,4.5e-08,0.1,0.6058955779186719
3.86075739237774,85.16201590462882,4.5e-08,0.1,0.5300971788273822
3.478014406577587,92.28236973874752,4.5e-08,0.1,0.4671741086707943
3.14425184358412,99.21548275252248,4.5e-08,0.1,0.4144052102133326
2.852169275735414,105.9401410352031,4.5e-08,0.1,0.3697349990330495
2.59554096639674,112.4423292028479,4.5e-08,0.1,0.3315927222190234
2.369110463873052,118.7135435269424,4.5e-08,0.1,0.2987645165330968
2.168463919927928,124.7494542686267,4.5e-08,0.1,0.2703023433882
24.56338292120326,0.1103796720621454,4.5e-08,0.2,9.123155918238952
23.33185848546392,0.1869756264141285,4.5e-08,0.2,8.849981691243269
22.01785137268486,0.3079390711951773,4.5e-08,0.2,8.551293301277989
20.69647829674285,0.4925943308498426,4.5e-08,0.2,8.244039504205274
19.44505232458069,0.7658847469758745,4.5e-08,0.2,7.94859265369133
