waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))ic" ?result "dc")) "L" 4.5e-08) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))ic" ?result "dc")) "L" 4.5e-08) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 8.944444e-08) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 8.944444e-08) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 1.338889e-07) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 1.338889e-07) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 1.783333e-07) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 1.783333e-07) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 2.227778e-07) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 2.227778e-07) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 2.672222e-07) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 2.672222e-07) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 3.116667e-07) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 3.116667e-07) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 3.561111e-07) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 3.561111e-07) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 4.005556e-07) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 4.005556e-07) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))tic" ?result "dc")) "L" 4.45e-07) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))tic" ?result "dc")) "L" 4.45e-07) Y
27.88083199056868,19.92553321812494,28.14136122629114,28.70064771520494,28.78987125014724,32.20608502073046,29.3019289366625,34.57095568510238,29.71700659228391,36.39490124636787,30.03146107717897,37.88641306280935,30.26816390307193,39.15617635088457,30.44770544498932,40.26917837434292,30.58533329433234,41.26618789666235,30.6918675297893,42.17409967023127
28.84214190235459,19.91994885362667,30.43717530809999,28.69441708799436,31.06375360378906,32.19809428480091,31.42075727162976,34.56111784417299,31.6841524027212,36.38316251773041,31.87514436936769,37.87279785824475,32.0153414939553,39.14073436319616,32.12002352475165,40.2519659815334,32.19946040970947,41.24726065023823,32.26056325212647,42.15350941074465
29.30252170630157,19.91199423779829,31.55529765788234,28.68526621046211,32.15053676542803,32.18630952801023,32.4160741752833,34.54660368612075,32.5940206139315,36.36584506660206,32.71681944524105,37.85271689642923,32.8041735368697,39.11796616178574,32.8679325224354,40.2265961419272,32.91544227335692,41.21937315827696,32.95141503504121,42.12318246894975
29.50568300318145,19.90066976125343,32.05282331060468,28.67183272496247,32.62245604287975,32.16894006250649,32.83858677723677,34.52520804286497,32.97133558600139,36.3403249316996,33.0578994714993,37.82313868455397,33.11674845846509,39.08444852908274,33.15794527594114,40.18927040055466,33.18736964061133,41.17836739570374,33.20864845447191,42.07861558362736
29.57799897301785,19.88456207670765,32.24847349939097,28.6521292683886,32.79815549910391,32.14336814981331,32.98563036809643,34.49371433319489,33.09196871769306,36.30278568896074,33.15564467625986,37.77863333718957,33.19315638839794,39.03039292486202,33.21655976623734,40.12629963571433,33.23092986837487,41.1070415478306,33.23929339603178,41.9994234386824
29.57906858303578,19.86168122437888,32.26795328435208,28.59854781877487,32.78812166011576,32.06741069649735,32.94798495515822,34.39971316375691,33.0291939326766,36.19217452466841,33.07198016676377,37.65378913781245,33.09380257305496,38.89525991435194,33.10335957155947,39.98145111707734,33.10539525245686,40.95297127621271,33.10267018119747,41.83655669790537
29.49231396430423,19.80157417786332,32.18039845480607,28.51020660160311,32.67941814357253,31.96070231072371,32.81796639048321,34.27674636989886,32.87818990128592,36.05370485381577,32.90156187113429,37.50071125080026,32.90565435586906,38.72842504627952,32.89903599735032,39.80162293195013,32.88627365110239,40.76081989070514,32.86995645322229,41.63266612652868
29.35914046943195,19.72391917353756,32.03255886630106,28.40325168634184,32.50437713530291,31.82955967380167,32.6167368773322,34.12398902561321,32.650760776768,35.8802006559531,32.64946836760557,37.30764995913518,32.63074680027351,38.51698841482841,32.60313431067447,39.57289206226488,32.57105746677645,40.51575318157545,32.53693762352052,41.37210353759429
29.18240956821358,19.62816673438231,31.82389834175479,28.26967004197045,32.25848981376985,31.66361520831947,32.3359616308882,33.92917324631454,32.33512926111274,35.65771114406748,32.30107407516308,37.05922931318405,32.25214622800809,38.24439150875954,32.19686095305403,39.27773056350037,32.13945642122668,40.19945611221977,32.0821198082755,41.03592141990966
28.95114895637093,19.50752348802868,31.54051809899985,28.09854124269182,31.92359043745114,31.44900588979648,31.95412706084728,33.67631842166832,31.9069800867994,35.36859194643307,31.82992952834038,36.73660578905307,31.74185666143454,37.89100093328285,31.65115236719983,38.89605811984148,31.56171921747908,39.79168336707805,31.47536222945546,40.60393991616557
28.64868119782686,19.35316733323323,31.15898239160639,27.87549570839685,31.47193733762573,31.1680850558131,31.44091953385769,33.34594666615341,31.33434545828824,34.9924026156818,31.2033091254497,36.31916232456663,31.06711120937049,37.4366640447737,30.93373626832739,38.40868900762482,30.80645557499784,39.27460332723548,30.68642989699667,40.05997766006978
28.25337459729154,19.15409106082233,30.64856366199977,27.5826212015678,30.86953131540252,30.80010539350805,30.76178145290073,32.9168700265538,30.58355603366826,34.509009036681,30.38955598896519,35.78900386053591,30.19901369277739,36.86658845890161,30.0189256286585,37.8045337227003,29.85142173528673,38.64123099282072,29.69661077584641,39.40141138069416
27.73988596218728,18.89737095072406,29.97455283335967,27.19946055761885,30.0816385609065,30.32386428782354,29.88556476541369,32.37074642674433,29.62888817880879,33.90512224858982,29.3693538428011,35.13932437069277,29.12499895784988,36.18127012368353,28.90084583207965,37.09177906104699,28.69714251126542,37.90754923660901,28.51242070114545,38.65194608894279
